sep=;
ID;Description;weight-gr;Type;Color;Size;Price;EU 1st item;EU additional;near-EU 1st item;near-EU additional;wwide 1st item;ww additional
1093;European Apparel 2408 Fine Jersey Tank Top Unisex (White / XL);150.3;Apparel;White;XL;12.43;5;0.75;8;1;10;1.2
1286;European Apparel 5454W Unisex California Fleece Raglan (Black / S);306.2;Apparel;Black;S;22.63;8;2;10;2;11;2.2
1289;European Apparel 5454W Unisex California Fleece Raglan (Navy / S);306.2;Apparel;Navy;S;22.63;8;2;10;2;11;2.2
1290;European Apparel 5454W Unisex California Fleece Raglan (Truffle / S);306.2;Apparel;Truffle;S;22.63;8;2;10;2;11;2.2
1293;European Apparel 5454W Unisex California Fleece Raglan (Black / M);323.2;Apparel;Black;M;22.63;8;2;10;2;11;2.2
1296;European Apparel 5454W Unisex California Fleece Raglan (Navy / M);323.2;Apparel;Navy;M;22.63;8;2;10;2;11;2.2
1297;European Apparel 5454W Unisex California Fleece Raglan (Truffle / M);323.2;Apparel;Truffle;M;22.63;8;2;10;2;11;2.2
1300;European Apparel 5454W Unisex California Fleece Raglan (Black / L);365.7;Apparel;Black;L;22.63;8;2;10;2;11;2.2
1303;European Apparel 5454W Unisex California Fleece Raglan (Navy / L);365.7;Apparel;Navy;L;22.63;8;2;10;2;11;2.2
1304;European Apparel 5454W Unisex California Fleece Raglan (Truffle / L);365.7;Apparel;Truffle;L;22.63;8;2;10;2;11;2.2
1307;European Apparel 5454W Unisex California Fleece Raglan (Black / XL);377;Apparel;Black;XL;22.63;8;2;10;2;11;2.2
1310;European Apparel 5454W Unisex California Fleece Raglan (Navy / XL);377;Apparel;Navy;XL;22.63;8;2;10;2;11;2.2
1311;European Apparel 5454W Unisex California Fleece Raglan (Truffle / XL);377;Apparel;Truffle;XL;22.63;8;2;10;2;11;2.2
1314;European Apparel 5454W Unisex California Fleece Raglan (Black / 2XL);464.9;Apparel;Black;2XL;23.94;8;2;10;2;11;2.2
1317;European Apparel 5454W Unisex California Fleece Raglan (Navy / 2XL);464.9;Apparel;Navy;2XL;23.94;8;2;10;2;11;2.2
1318;European Apparel 5454W Unisex California Fleece Raglan (Truffle / 2XL);464.9;Apparel;Truffle;2XL;23.94;8;2;10;2;11;2.2
1368;European Apparel 5454W Unisex California Fleece Raglan (Red / S);306.2;Apparel;Red;S;22.63;8;2;10;2;11;2.2
1369;European Apparel 5454W Unisex California Fleece Raglan (Red / M);323.2;Apparel;Red;M;22.63;8;2;10;2;11;2.2
1370;European Apparel 5454W Unisex California Fleece Raglan (Red / L);365.7;Apparel;Red;L;22.63;8;2;10;2;11;2.2
1371;European Apparel 5454W Unisex California Fleece Raglan (Red / XL);377;Apparel;Red;XL;22.63;8;2;10;2;11;2.2
1372;European Apparel 5454W Unisex California Fleece Raglan (Red / 2XL);464.9;Apparel;Red;2XL;23.94;8;2;10;2;11;2.2
1608;European Apparel 2408 Fine Jersey Tank Top Unisex (Heather Grey / XS);104.9;Apparel;Heather Grey;XS;13.3;5;0.75;8;1;10;1.2
1609;European Apparel 2408 Fine Jersey Tank Top Unisex (Heather Grey / S);107.7;Apparel;Heather Grey;S;13.3;5;0.75;8;1;10;1.2
1610;European Apparel 2408 Fine Jersey Tank Top Unisex (Heather Grey / L);133.2;Apparel;Heather Grey;L;13.3;5;0.75;8;1;10;1.2
1611;European Apparel 2408 Fine Jersey Tank Top Unisex (Heather Grey / XL);150.3;Apparel;Heather Grey;XL;13.3;5;0.75;8;1;10;1.2
1612;European Apparel 2408 Fine Jersey Tank Top Unisex (Heather Grey / M);116.2;Apparel;Heather Grey;M;13.3;5;0.75;8;1;10;1.2
3015;European Apparel 5454W Unisex California Fleece Raglan (Black / XS);292;Apparel;Black;XS;22.63;8;2;10;2;11;2.2
3018;European Apparel 5454W Unisex California Fleece Raglan (Navy / XS);292;Apparel;Navy;XS;22.63;8;2;10;2;11;2.2
3019;European Apparel 5454W Unisex California Fleece Raglan (Truffle / XS);292;Apparel;Truffle;XS;22.63;8;2;10;2;11;2.2
3021;European Apparel 5454W Unisex California Fleece Raglan (Red / XS);292;Apparel;Red;XS;22.63;8;2;10;2;11;2.2
3030;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Black / XS);311.8;Apparel;Black;XS;24.37;8;2;10;2;11;2.2
3033;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Navy / XS);311.8;Apparel;Navy;XS;24.37;8;2;10;2;11;2.2
4691;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (White / S);99.2;Apparel;White;S;11.29;5;0.75;8;1;10;1.2
4692;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (White / M);110.6;Apparel;White;M;11.29;5;0.75;8;1;10;1.2
4693;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (White / L);113.4;Apparel;White;L;11.29;5;0.75;8;1;10;1.2
4694;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (White / XL);133.2;Apparel;White;XL;11.29;5;0.75;8;1;10;1.2
4695;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (White / 2XL);155.9;Apparel;White;2XL;12.6;5;0.75;8;1;10;1.2
4696;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Black / S);99.2;Apparel;Black;S;11.29;5;0.75;8;1;10;1.2
4697;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Black / M);110.6;Apparel;Black;M;11.29;5;0.75;8;1;10;1.2
4698;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Black / L);113.4;Apparel;Black;L;11.29;5;0.75;8;1;10;1.2
4699;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Black / XL);133.2;Apparel;Black;XL;11.29;5;0.75;8;1;10;1.2
4700;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Black / 2XL);155.9;Apparel;Black;2XL;12.6;5;0.75;8;1;10;1.2
4701;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Caribbean Blue / S);99.2;Apparel;Caribbean Blue;S;11.29;5;0.75;8;1;10;1.2
4702;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Caribbean Blue / M);110.6;Apparel;Caribbean Blue;M;11.29;5;0.75;8;1;10;1.2
4703;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Caribbean Blue / L);113.4;Apparel;Caribbean Blue;L;11.29;5;0.75;8;1;10;1.2
4704;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Caribbean Blue / XL);133.2;Apparel;Caribbean Blue;XL;11.29;5;0.75;8;1;10;1.2
4705;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Caribbean Blue / 2XL);155.9;Apparel;Caribbean Blue;2XL;12.6;5;0.75;8;1;10;1.2
4706;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Green Apple / S);99.2;Apparel;Green Apple;S;11.29;5;0.75;8;1;10;1.2
4707;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Green Apple / M);110.6;Apparel;Green Apple;M;11.29;5;0.75;8;1;10;1.2
4708;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Green Apple / L);113.4;Apparel;Green Apple;L;11.29;5;0.75;8;1;10;1.2
4709;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Green Apple / XL);133.2;Apparel;Green Apple;XL;11.29;5;0.75;8;1;10;1.2
4710;Anvil 882L Ladies Missy Fit Ringspun Tank Top with Tear Away label (Green Apple / 2XL);155.9;Apparel;Green Apple;2XL;12.6;5;0.75;8;1;10;1.2
