sep=;
ID;Description;weight-gr;Type;Color;Size;Price;shipping
302;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / XL);198.45;Apparel;Red;XL;12.64;8
304;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / XL);198.45;Apparel;Royal Blue;XL;12.64;8
308;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / XL);198.45;Apparel;New Silver;XL;12.64;8
310;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / XL);198.45;Apparel;Slate;XL;12.64;8
312;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Teal / XL);198.45;Apparel;Teal;XL;12.64;8
316;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (White / XL);198.45;Apparel;White;XL;12.16;8
324;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Asphalt / 2XL);219.71;Apparel;Asphalt;2XL;13.95;8
326;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Black / 2XL);219.71;Apparel;Black;2XL;13.95;8
332;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Cranberry / 2XL);219.71;Apparel;Cranberry;2XL;13.95;8
338;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Forest / 2XL);219.71;Apparel;Forest;2XL;13.95;8
340;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Fuchsia / 2XL);219.71;Apparel;Fuchsia;2XL;13.95;8
344;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Grass / 2XL);219.71;Apparel;Grass;2XL;13.95;8
346;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Heather Grey / 2XL);219.71;Apparel;Heather Grey;2XL;13.95;8
348;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Kelly Green / 2XL);219.71;Apparel;Kelly Green;2XL;13.95;8
356;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Navy / 2XL);219.71;Apparel;Navy;2XL;13.95;8
358;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Olive / 2XL);219.71;Apparel;Olive;2XL;13.95;8
360;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Orange / 2XL);219.71;Apparel;Orange;2XL;13.95;8
364;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / 2XL);219.71;Apparel;Red;2XL;13.95;8
366;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / 2XL);219.71;Apparel;Royal Blue;2XL;13.95;8
370;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / 2XL);219.71;Apparel;New Silver;2XL;13.95;8
372;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / 2XL);219.71;Apparel;Slate;2XL;13.95;8
374;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Teal / 2XL);219.71;Apparel;Teal;2XL;13.95;8
378;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (White / 2XL);219.71;Apparel;White;2XL;13.47;8
386;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Asphalt / 3XL);226.8;Apparel;Asphalt;3XL;15.26;8
388;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Black / 3XL);226.8;Apparel;Black;3XL;15.26;8
394;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Cranberry / 3XL);226.8;Apparel;Cranberry;3XL;15.26;8
400;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Forest / 3XL);226.8;Apparel;Forest;3XL;15.26;8
402;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Fuchsia / 3XL);226.8;Apparel;Fuchsia;3XL;15.26;8
406;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Grass / 3XL);226.8;Apparel;Grass;3XL;15.26;8
408;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Heather Grey / 3XL);226.8;Apparel;Heather Grey;3XL;15.26;8
410;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Kelly Green / 3XL);226.8;Apparel;Kelly Green;3XL;15.26;8
418;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Navy / 3XL);226.8;Apparel;Navy;3XL;15.26;8
420;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Olive / 3XL);226.8;Apparel;Olive;3XL;15.26;8
422;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Orange / 3XL);226.8;Apparel;Orange;3XL;15.26;8
426;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / 3XL);226.8;Apparel;Red;3XL;15.26;8
428;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / 3XL);226.8;Apparel;Royal Blue;3XL;15.26;8
432;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / 3XL);226.8;Apparel;New Silver;3XL;15.26;8
434;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / 3XL);226.8;Apparel;Slate;3XL;15.26;8
436;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Teal / 3XL);226.8;Apparel;Teal;3XL;15.26;8
440;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (White / 3XL);226.8;Apparel;White;3XL;14.78;8
6829;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / XS);113.4;Apparel;Army;XS;12.64;8
6830;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / S);127.57;Apparel;Army;S;12.64;8
6831;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / M);147.42;Apparel;Army;M;12.64;8
6832;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / L);184.27;Apparel;Army;L;12.64;8
6833;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Army / XL);198.45;Apparel;Army;XL;12.64;8
